agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
benson-area-transit,Benson Area Transit,F,51.7,2026-08-07,lapsed,-219,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cat-tran-shuttle,Cat Tran Shuttle,F,38.3,2026-08-07,stale,-1740,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cat-tran-shuttle-2206,Cat Tran Shuttle,F,39.3,2026-08-07,stale,-602,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
city-of-douglas,City of Douglas,D,69.8,2026-08-07,lapsed,-99,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
city-of-show-low,City of Show Low,F,57.2,2026-08-07,lapsed,-99,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
city-of-sierra-vista,City of Sierra Vista,F,52.5,2026-08-07,stale,-2776,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
copper-mountain-transit,Copper Mountain Transit,F,56.9,2026-08-07,lapsed,-225,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
city-of-coolidge,Cotton Express and Central Arizona Regional Transit,D,64.8,2026-08-07,stale,-584,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
groome-transportation-arizona-shuttle,Groome Transportation - Arizona Shuttle,F,44.1,2026-08-07,stale,-1315,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
kingman-area-regional-transit,Kingman Area Regional Transit,F,57.2,2026-08-07,lapsed,-219,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
mountain-line-1148,Mountain Line,F,28.6,2026-08-07,lapsed,-222,yes,Service data has expired,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,ready
roadrunner,RoadRunner,F,53.0,2026-08-07,stale,-3505,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
grand-canyon-national-park,South Rim Shuttle,B,87.8,2026-08-07,current,35,yes,Service data expires in 35 day(s),Remove past service periods the next time you export the feed.,ready
suntran,SunTran,F,47.2,2026-08-07,stale,-447,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
suntran-2354,SunTran,F,55.7,2026-08-07,lapsed,-83,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
verde-lynx,Verde Lynx,F,51.3,2026-08-07,stale,-3505,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
bisbee-bus,Bisbee Bus,A,99.4,2026-08-07,current,521,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
bullhead-area-transit-system,Bullhead Area Transit System,B,87.5,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
cottonwood-area-transit-cat,Cottonwood Area Transit (CAT),C,79.4,2026-08-07,current,116,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
mountain-line-transit,Mountain Line Transit,D,68.7,2026-08-07,current,26809,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
sedona-shuttle,Sedona Shuttle,A,99.8,2026-08-07,current,389,no,,"Widen feed_start_date and feed_end_date to cover all service dates, or fix the dates that fall outside.",at_risk
valley-metro-vm,Valley Metro (VM),B,80.0,2026-08-07,current,79,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
yuma-county-intergovernmental-public-transportation-authority-ycipta,Yuma County Intergovernmental Public Transportation Authority (YCIPTA),D,69.3,2026-08-07,current,147,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
