agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
city-of-tracy-tracer,City of Tracy (TRACER),F,14.6,2026-07-10,stale,-1440,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
auburn-transit,Auburn Transit,F,17.5,2026-07-10,stale,-1378,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
ridgerunner,Ridgerunner,F,19.5,2026-07-10,stale,-1652,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sunline-transit-agency,SunLine Transit Agency,F,20.3,2026-07-10,lapsed,-191,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
norwalk-transit-system-nts,Norwalk Transit System (NTS),F,22.7,2026-07-10,stale,-1286,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gtrans,GTrans,F,23.0,2026-07-10,stale,-1043,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
redding-area-bus-authority-raba,Redding Area Bus Authority (RABA),F,26.4,2026-07-10,stale,-1013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
south-county-transit-link,South County Transit Link,F,30.0,2026-07-10,stale,-1652,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
modesto-area-express,Modesto Area Express,F,31.6,2026-07-10,stale,-861,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
compton-renaissance,Compton Renaissance,F,32.4,2026-07-10,stale,-1287,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
glenn-transit-service,Glenn Transit Service,F,33.5,2026-07-10,stale,-1347,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
santa-maria-area-transit,Santa Maria Area Transit,F,33.6,2026-07-10,stale,-1713,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
porterville-transit,Porterville Transit,F,36.5,2026-07-10,stale,-1013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
baldwin-park-transit,Baldwin Park Transit,F,39.1,2026-07-10,stale,-1652,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
santa-rosa-citybus-1986,Santa Rosa CityBus,F,39.6,2026-07-10,stale,-859,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cudahy-area-rapid-transit,Cudahy Area Rapid Transit,F,41.7,2026-07-10,stale,-1652,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
arvin-transit,Arvin Transit,F,42.3,2026-07-10,stale,-1652,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
kings-area-rural-transit,Kings Area Rural Transit,F,42.4,2026-07-10,stale,-2016,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
carson-circuit,Carson Circuit,F,42.7,2026-07-10,stale,-1835,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
palos-verdes-peninsula-transit-authority-pvpta,Palos Verdes Peninsula Transit Authority (PVPTA),F,42.7,2026-07-10,expiring_soon,13,yes,Service window shortened unexpectedly on 2026-07-04,Re-export with a validity window that reaches at least 60 days out.,
