agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
avon-transit,Avon Transit,F,49.4,2026-08-07,stale,-481,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
avon-transit-2040,Avon Transit Flex,D,64.7,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,not_ready
bent-county-transit,Bent County Transit,F,46.2,2026-08-07,stale,-1330,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
blue-sky-limo-llc,Blue Sky Limo LLC,F,54.6,2026-08-07,lapsed,-219,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
boulder-county,Boulder County,F,48.1,2026-08-07,stale,-1498,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
breckenridge-free-ride,Breckenridge Free Ride,F,47.1,2026-08-07,lapsed,-117,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
regional-transportation-district-rtd,Bustang,F,45.7,2026-08-07,stale,-1679,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
regional-transportation-district-rtd-2280,Bustang,D,69.2,2026-08-07,current,50,yes,Service data expires in 50 day(s),Review the rule documentation for 'foreign_key_violation' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,ready
colorado-school-of-mines,Colorado School Of Mines,F,57.4,2026-08-07,expiring_soon,11,yes,Service data expires in 11 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
continuum,Continuum Flex,F,22.5,2026-08-07,stale,-1314,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
discover-goodwill,Discover Goodwill Flex,C,73.4,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,not_ready
eco-transit,ECO Transit,F,45.6,2026-08-07,stale,-1210,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
eco-transit-2061,ECO Transit,F,45.6,2026-08-07,stale,-1210,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
el-paso-fountain-valley-senior-citizens-program-inc,El Paso Fountain Valley Senior Citizens Program Inc Flex,D,60.9,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,not_ready
garden-of-the-gods,Garden of the Gods,F,45.5,2026-08-07,stale,-1163,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
grand-valley-transit,Grand Valley Transit,F,55.2,2026-08-07,lapsed,-275,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
greeley-evans-transit-get-2076,Greeley-Evans Transit (GET),D,69.0,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
