agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
norwalk-transit-district,Norwalk Transit District,F,20.8,2026-07-09,stale,-1651,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
southeast-area-transit-district,Southeast Area Transit District,F,44.5,2026-07-09,stale,-1138,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
southeast-area-transit-district-552,Southeast Area Transit District,F,44.5,2026-07-09,stale,-1138,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
middletown-area-transit,Middletown Area Transit,F,44.9,2026-07-09,stale,-1105,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
middletown-area-transit-576,Middletown Area Transit,F,44.9,2026-07-09,stale,-1105,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
shore-line-east,Shore Line East,F,47.9,2026-07-09,stale,-555,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
connecticut-transit-597,Hartford Line - Rail,F,58.3,2026-07-09,stale,-1140,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
lower-hudson-valley-transit,Lower Hudson Valley Transit,D,69.8,2026-07-09,current,354,yes,Score changed sharply on 2026-06-25,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
connecticut-transit,Connecticut Transit,F,53.6,2026-07-09,current,184,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
greater-bridgeport-transit,Greater Bridgeport Transit,C,75.2,2026-07-09,current,171,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
greater-bridgeport-transit-530,Greater Bridgeport Transit,C,75.2,2026-07-09,current,171,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
middletown-area-transit-mat,Middletown Area Transit (MAT),C,77.7,2026-07-09,current,322,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
middletown-area-transit-mat-551,Middletown Area Transit (MAT),C,77.7,2026-07-09,current,322,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
southeast-area-transit-district-2240,Southeast Area Transit District,C,78.0,2026-07-09,current,353,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
connecticut-transit-2840,Hartford Line - Rail,B,83.8,2026-07-09,current,113,no,,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
