agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
magnetic-island-ferry,Magnetic Island Ferry (Translink),C,70.9,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
translink-bowen,TransLink Bowen,C,73.5,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-bundaberg,TransLink Bundaberg (Duffy's Buses),C,72.8,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-bus-queensland-toowoomba,TransLink Bus Queensland Toowoomba,C,73.3,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-gladstone,TransLink Gladstone (Buslink),C,72.2,2026-08-07,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-gympie,TransLink Gympie (Polleys Coaches),C,71.5,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-innisfail,TransLink Innisfail,C,72.7,2026-08-07,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-kilcoy,TransLink Kilcoy (Christensens Bus and Coach),C,74.4,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-mackay,TransLink Mackay Transit Coaches,C,73.5,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-magnetic-island,TransLink Magnetic Island,C,74.4,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-maleny-landsborough,TransLink Maleny-Landsborough (Glass House Country Coaches),C,74.0,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-maryborough-hervey-bay,TransLink Maryborough-Hervey Bay,C,73.1,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-north-stradbroke-island,TransLink North Stradbroke Island,C,74.4,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-rockhampton-yeppoon,TransLink Rockhampton-Yeppoon,D,68.0,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-south-east-queensland,TransLink South East Queensland,D,61.5,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-sunbus-cairns,TransLink Sunbus Cairns,C,73.5,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-sunbus-townsville,TransLink Sunbus Townsville,C,73.5,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-warwick,TransLink Warwick (Haidleys Panoramic Coaches),C,72.4,2026-08-07,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
translink-whitsundays,TransLink Whitsundays (Whitsunday Transit),C,74.4,2026-08-07,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
adelaide-metro,Adelaide Metro,D,68.5,2026-08-07,current,65,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
nt-alice-springs-bus,Northern Territory Public Transport (Alice Springs),D,62.7,2026-08-07,current,183,no,,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
nt-darwin-bus,Northern Territory Public Transport (Darwin),F,57.5,2026-08-07,current,177,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tasmania-public-transport,Tasmania public transport aggregate,D,61.2,2026-08-07,current,85,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
transperth,Transperth,F,44.9,2026-08-07,current,87,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
