agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
bc-transit-bulkley-nechako-prince-george,BC Transit (Bulkley-Nechako and Prince George Transit Systems),F,57.1,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
bc-transit-central-fraser-valley,BC Transit (Central Fraser Valley Transit System),F,54.4,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
bc-transit-kamloops,BC Transit (Kamloops Transit System),F,56.2,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
bc-transit-kelowna,BC Transit (Kelowna Regional Transit System),F,54.4,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
bc-transit-nanaimo,BC Transit (Nanaimo Regional Transit System),F,54.1,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
bc-transit-powell-river,BC Transit (Powell River Regional Transit System),F,59.6,2026-08-07,current,31,yes,Grade slipped from D to F,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-salt-spring-island,BC Transit (Salt Spring Island Transit System),C,73.2,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
brampton-transit,Brampton Transit,C,75.5,2026-08-07,expiring_soon,30,yes,Service data expires in 30 day(s),"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE').",
calgary-transit,Calgary Transit,F,17.5,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
go-transit-metrolinx,GO Transit (Metrolinx),C,76.4,2026-08-07,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.,
london-transit-commission,London Transit Commission (Ontario),D,60.6,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
oakville-transit,Oakville Transit,F,56.6,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
toronto-transit-commission,Toronto Transit Commission (TTC),F,55.1,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
york-region-transit,York Region Transit (YRT),D,65.3,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
barrie-transit,Barrie Transit (Ontario),C,72.3,2026-08-07,current,85,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-100-mile-house,BC Transit (100 Mile House Transit System),C,73.5,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-ashcroft-cache-creek-clinton,BC Transit (Ashcroft-Cache Creek-Clinton Transit System),C,73.5,2026-08-07,current,145,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-campbell-river,BC Transit (Campbell River Transit System),C,71.7,2026-08-07,current,394,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-clearwater,BC Transit (Clearwater Transit System),C,72.6,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-columbia-valley,"BC Transit (Columbia Valley, Cranbrook, Elk Valley, and Kimberley)",C,71.3,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-comox-valley,BC Transit (Comox Valley Transit System),C,70.4,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-cowichan-valley,BC Transit (Cowichan Valley Regional Transit System),C,71.7,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-creston-valley,BC Transit (Creston Valley Transit System),C,72.3,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-dawson-creek,BC Transit (Dawson Creek Transit System),C,73.5,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-fort-st-john,BC Transit (Fort St. John Transit System),C,73.5,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-hazelton-kitimat-terrace,"BC Transit (Hazelton, Kitimat, and Terrace)",C,71.7,2026-08-07,current,324,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-merritt,BC Transit (Merritt Transit System),C,73.5,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-mount-waddington,BC Transit (Mount Waddington Transit System),C,71.7,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-pemberton-valley,BC Transit (Pemberton Valley Transit System),C,73.5,2026-08-07,current,109,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-port-alberni,BC Transit (Port Alberni Regional Transit System),C,72.6,2026-08-07,current,148,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-port-edward-prince-rupert,BC Transit (Port Edward and Prince Rupert Transit Systems),C,71.7,2026-08-07,current,323,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-quesnel,BC Transit (Quesnel Transit System),C,71.7,2026-08-07,current,511,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-revelstoke,BC Transit (Revelstoke Transit System),C,73.5,2026-08-07,current,112,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bc-transit-shuswap-vernon,BC Transit (Shuswap and Vernon Regional Transit Systems),D,69.5,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
