agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
bizkaibus,Bizkaibus,D,67.7,2026-08-07,current,45,yes,Service data expires in 45 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
emt-malaga,Empresa Malagueña de Transportes (EMT Málaga),C,70.7,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
emt-fuenlabrada,EMT Fuenlabrada (EMTF),F,57.9,2026-08-07,expiring_soon,13,yes,Service data expires in 13 day(s),Re-export with a validity window that reaches at least 60 days out.,
emt-valencia,EMT València,F,45.5,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
metro-bilbao,Metro Bilbao,D,61.1,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
metro-malaga,Metro de Málaga,F,57.0,2026-08-07,expiring_soon,12,yes,Service data expires in 12 day(s),Re-export with a validity window that reaches at least 60 days out.,
tram-barcelona-tbx,TRAM Barcelona (Trambaix),F,52.5,2026-08-07,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tram-barcelona-tbs,TRAM Barcelona (Trambesòs),F,54.3,2026-08-07,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tuvisa-vitoria,TUVISA (Vitoria-Gasteiz),D,62.3,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
gencat-interurban-bus,Autobusos interurbans de la Generalitat de Catalunya,F,42.3,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tib-mallorca,Consorci de Transports de Mallorca (TIB),C,78.6,2026-08-07,current,180,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
crtm-red-de-emt,CRTM — Red de EMT (Madrid city bus),C,72.8,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
crtm-red-de-interurbanos,CRTM — Red de Interurbanos (Madrid regional bus),F,33.8,2026-08-07,current,384,no,,Review the rule documentation for 'stop_time_with_arrival_before_previous_departure_time' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
crtm-metro-ligero,CRTM — Red de Metro Ligero (Madrid light rail),C,70.9,2026-08-07,current,349,no,,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
emt-madrid,EMT Madrid,D,69.3,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
fgc-catalunya,Ferrocarrils de la Generalitat de Catalunya (FGC),C,75.2,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
puente-bizkaia,Puente Bizkaia (El Transbordador de Vizcaya),B,87.6,2026-08-07,current,84,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
renfe-alta-larga-media,"Renfe (Alta Velocidad, Larga y Media Distancia)",F,36.8,2026-08-06,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
renfe-cercanias-rodalies,Renfe Cercanías y Rodalies,F,35.7,2026-08-06,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
reus-transport,Reus Transport,C,74.3,2026-08-07,current,277,no,,"Set wheelchair_accessible on every trip. If every vehicle is accessible, this may be one default; otherwise use the value for each trip.",
titsa-tenerife,TITSA (Tenerife),F,54.6,2026-08-07,current,178,no,,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
