agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
hsl-helsinki-region,Helsinki Region Transport (HSL),F,48.2,2026-08-07,current,57,yes,Service data expires in 57 day(s),Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
foli-turku,Föli (Turku region),F,51.1,2026-08-07,current,303,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tampere-nysse,Tampere regional transport (Nysse),C,73.6,2026-08-07,current,72,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-hameenlinna,Waltti (Hämeenlinna),D,64.5,2026-08-07,current,303,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-joensuu,Waltti (Joensuu),D,69.3,2026-08-07,current,65,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-jyvaskyla,Waltti (Jyväskylä),D,65.8,2026-08-07,current,303,no,,Review the rule documentation for 'invalid_character' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
waltti-kotka,Waltti (Kotka),F,45.4,2026-08-07,current,86,no,,Review the rule documentation for 'transfer_with_invalid_trip_and_route' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
waltti-kouvola,Waltti (Kouvola),C,75.8,2026-08-07,current,303,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-lahti-region,Waltti (Lahti region),D,64.2,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-lappeenranta,Waltti (Lappeenranta),F,56.5,2026-08-07,current,19870,no,,Review the rule documentation for 'invalid_url' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
waltti-mikkeli,Waltti (Mikkeli),F,57.5,2026-08-07,current,511,no,,Review the rule documentation for 'invalid_url' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
waltti-oulu,Waltti (Oulu),D,65.4,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-pori,Waltti (Pori),D,66.0,2026-08-07,current,303,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
waltti-vaasa,Waltti (Vaasa),D,65.2,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
