agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
agglobus-rodez,Agglobus (Rodez),F,45.9,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
astrobus-lisieux,Astrobus (Lisieux),D,65.1,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
carabus-royan,Cara'bus (Royan),F,48.9,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
citibus-narbonne,Citibus (Narbonne),F,42.3,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
ilevia-lille,ilévia (Métropole Européenne de Lille),D,60.7,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
le-met-metz,LE MET' (Metz),F,55.5,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
lignes-dazur-nice,Lignes d'Azur (Nice),D,60.5,2026-08-07,current,37,yes,Service data expires in 37 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
montelibus-montelimar,Montélibus (Montélimar),F,43.4,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
moova-vesoul,moova (Vesoul),F,26.1,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
move-vendome,Move (Vendôme),F,39.3,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
fr-pan-82998,Navette estivale Corté - vallée de la Restonica,D,66.8,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ritmo-haguenau,Ritmo (Haguenau),F,42.8,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
rlv-riom,RLV Mobilités (Riom),F,16.0,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
fr-pan-81479,Réseau interurbain BreizhGo Bateaux — Breizhgo Bateaux Bréhat,D,69.5,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
fluo-grand-est-aube,Réseau interurbain Fluo Grand Est - Aube,F,24.7,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
fr-pan-82305,Réseau maritime de Corse du Sud,F,55.0,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
reseau-mistral-toulon,Réseau Mistral (Toulon),F,52.6,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
fr-pan-81252,Réseau urbain A Citadina,F,57.0,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cap-cotentin,Réseau urbain Cap Cotentin,F,42.9,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
fr-cmonbus,Réseau urbain Cmonbus,D,66.9,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
