agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
blackpool-transport,Blackpool Transport,F,55.2,2026-08-07,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
bluestar-hampshire,Bluestar,F,51.9,2026-08-07,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
green-line-702,Green Line 702,F,59.6,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
metrobus-sussex,Metrobus,F,42.6,2026-08-07,expiring_soon,21,yes,Service data expires in 21 day(s),Re-export with a validity window that reaches at least 60 days out.,
morebus,Morebus,D,61.9,2026-08-07,current,37,yes,Service data expires in 37 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
newbury-district,Newbury & District,F,54.5,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
reading-buses,Reading Buses,F,56.5,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
salisbury-reds,Salisbury Reds,F,49.9,2026-08-07,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
southern-vectis,Southern Vectis,D,67.8,2026-08-07,current,50,yes,Service data expires in 50 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
swindons-bus-company,Swindon's Bus Company,F,48.2,2026-08-07,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
unibus-bournemouth,Unibus (Bournemouth),D,61.9,2026-08-07,current,37,yes,Service data expires in 37 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
unilink-southampton,Unilink (Southampton),D,63.0,2026-08-07,current,36,yes,Service data expires in 36 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
warringtons-own-buses,Warrington's Own Buses,F,39.8,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
borders-buses,Borders Buses,F,56.8,2026-08-07,current,499,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
brighton-hove-buses,Brighton & Hove Buses,F,53.1,2026-08-07,current,355,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
cardiff-bus,Cardiff Bus (Bws Caerdydd),F,56.2,2026-08-07,current,363,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
carousel-buses,Carousel Buses,F,59.7,2026-08-07,current,346,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
coach-services-thetford,Coach Services,F,54.5,2026-08-07,current,348,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
east-yorkshire-buses,East Yorkshire,F,33.0,2026-08-07,current,349,no,,Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
essex-bus-network,Essex Bus Network,F,49.8,2026-08-07,current,116,no,,Re-generate shape distances in your export; flag to your vendor if it persists.,
go-cornwall-bus,Go Cornwall Bus (Transport for Cornwall),F,49.6,2026-08-07,current,357,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
go-north-east,Go North East,D,62.9,2026-08-07,current,138,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
hedingham-chambers,Hedingham & Chambers,F,40.4,2026-08-07,current,326,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
intalink-hertfordshire,Intalink,F,45.2,2026-08-07,current,760,no,,Review the rule documentation for 'point_near_origin' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
konectbus-norfolk,Konectbus,F,57.6,2026-08-07,current,326,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
mcgills-buses,McGill's Buses,F,53.4,2026-08-07,current,361,no,,Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
midland-bluebird,Midland Bluebird,D,65.8,2026-08-07,current,400,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
newport-bus,Newport Bus (Bws Casnewydd),F,53.3,2026-08-07,current,362,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
nottingham-city-transport,Nottingham City Transport,F,55.7,2026-08-07,current,78,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
