agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
dublin-coach,Dublin Coach,C,70.1,2026-08-07,current,39,yes,Service data expires in 39 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
aircoach,Aircoach,B,82.6,2026-08-07,current,363,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bernard-kavanagh,Bernard Kavanagh & Sons,B,80.3,2026-08-07,current,364,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bus-eireann,Bus Éireann,C,80.0,2026-08-07,current,171,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
city-direct-ie,City Direct,B,82.6,2026-08-07,current,363,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
citylink-ie,Citylink,C,70.8,2026-08-07,current,364,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
dublin-bus,Dublin Bus (Transport for Ireland),C,79.3,2026-08-07,current,85,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
express-bus-ie,Express Bus,C,80.0,2026-08-07,current,364,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
goahead-ireland,Go-Ahead Ireland,C,79.0,2026-08-07,current,169,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
irish-rail,Iarnród Éireann (Irish Rail),C,74.8,2026-08-07,current,127,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
jj-kavanagh,JJ Kavanagh & Sons,C,77.8,2026-08-07,current,364,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
kearns-transport,Kearns Transport,C,76.0,2026-08-07,current,364,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
luas,Luas (Dublin light rail),C,78.9,2026-08-07,current,125,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
matthews-coach,Matthews Coach Hire,C,77.0,2026-08-07,current,363,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
mcgrath-coaches,McGrath Coaches,B,82.4,2026-08-07,current,363,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
dublin-bus-nitelink,Nitelink (Dublin Bus),C,74.8,2026-08-07,current,142,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
slieve-bloom-coach-tours,Slieve Bloom Coach Tours,C,80.0,2026-08-07,current,364,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
swords-express,Swords Express,C,75.2,2026-08-07,current,364,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tfi-local-link,TFI Local Link,C,79.7,2026-08-07,current,363,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
wexford-bus,Wexford Bus,C,74.1,2026-08-07,current,292,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
