agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
actv-venezia-bus,ACTV Venezia (bus and tram),F,52.5,2026-08-07,current,36,yes,Service data expires in 36 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
actv-venezia-navigazione,ACTV Venezia (vaporetto navigation),F,47.6,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
amat-palermo,AMAT Palermo,D,60.7,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
amt-genova,AMT Genova,F,45.6,2026-08-07,current,49,yes,Service data expires in 49 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
aspo-olbia,ASPO (Olbia urban bus),F,46.1,2026-08-07,current,39,yes,Service data expires in 39 day(s),Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
atm-milano,ATM Milano (Comune di Milano),F,47.3,2026-08-07,expiring_soon,5,yes,Service data expires in 5 day(s),Re-export with a validity window that reaches at least 60 days out.,
autolinee-toscane,Autolinee Toscane (at),F,28.5,2026-08-07,expiring_soon,19,yes,Service data expires in 19 day(s),Re-export with a validity window that reaches at least 60 days out.,
anm-napoli,Azienda Napoletana Mobilità (ANM),F,26.8,2026-08-07,stale,-950,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gest-firenze,GEST — Tramvia di Firenze,F,43.8,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
roma-servizi-mobilita,Roma Servizi per la Mobilità,F,32.3,2026-08-07,current,38,yes,Service window shortened unexpectedly on 2026-08-07,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
tft-arezzo,TFT — Trasporto Ferroviario Toscano (Arezzo),F,50.9,2026-08-07,current,38,yes,Service data expires in 38 day(s),Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
trentino-trasporti,Trentino Trasporti (urban networks),C,78.4,2026-08-07,current,37,yes,Service data expires in 37 day(s),"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
arst-sardegna,ARST (Trasporti Regionali della Sardegna),F,30.7,2026-08-07,current,146,no,,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
asara-sardegna,ASARA contributed lines (Sardegna),F,40.3,2026-08-07,current,327,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
atm-messina,ATM Messina,F,55.0,2026-08-07,current,146,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
atp-nuoro,Azienda Trasporti Pubblici di Nuoro (ATP Nuoro),F,55.1,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tper-marconi-express,"Marconi Express (TPER, Bologna)",A,100.0,2026-08-07,current,146,no,,,
core-calabria,Regione Calabria regional transport (CORE),F,32.0,2026-08-07,current,511,no,,Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
sardegna-minor-islands-maritime-services,Sardegna minor-island maritime services,F,56.6,2026-08-07,current,233,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
sardegna-corsica-maritime-services,Sardegna–Corsica maritime services,D,62.7,2026-08-07,current,85,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
sgm-lecce,Società Gestione Multipla (SGM Lecce),C,73.2,2026-08-07,current,310,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
toremar,Toremar (Toscana island ferries),D,65.3,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
tper-bologna,TPER — Rete bus Bologna,F,51.0,2026-08-07,current,302,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tper-ferrara,TPER — Rete bus Ferrara,F,50.9,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
trenitalia-sardegna,Trenitalia regional rail in Sardegna,C,77.6,2026-08-07,current,127,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
trenitalia-toscana,Trenitalia regional rail in Toscana,F,58.3,2026-08-07,current,127,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
trenord,Trenord,D,60.7,2026-08-07,current,127,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
