agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
donan-bus,Donan Bus (道南バス),C,73.4,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ganu-area-shiokaze-line,Ganu Area Shiokaze Line (岩宇地域しおかぜライン),C,73.6,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
higashiomi-chokotto-bus,Higashiomi City Chokotto Bus (東近江市ちょこっとバス),C,70.8,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
hirado-city-fureai-bus,Hirado City Fureai Bus (平戸市ふれあいバス),C,79.3,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ise-okage-bus,Ise Okage Bus (伊勢市 おかげバス),D,64.0,2026-08-07,current,37,yes,Service data expires in 37 day(s),Ask your AVL vendor to publish updates at least every 20 seconds (the Caltrans guideline).,
jr-shikoku-bus-kochi,"JR Shikoku Bus, Kochi (JR四国バス 高知支店)",B,83.9,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
komono-kamoshika-bus,Komono Kamoshika Bus (菰野町 かもしか号),D,60.1,2026-08-07,current,37,yes,Service data expires in 37 day(s),Ask your AVL vendor to publish updates at least every 20 seconds (the Caltrans guideline).,
kochi-konan-city-bus,Konan City Bus (香南市営バス),C,73.4,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
minamichita-umikko-bus,Minamichita Town Umikko Bus (南知多町海っ子バス),C,74.1,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
mizuho-choisoko-demand-transit,Mizuho Town Choi-Soko Demand Transit (チョイソコみずほまち),D,67.8,2026-08-07,current,54,yes,Service data expires in 54 day(s),Review the rule documentation for 'stop_time_timepoint_without_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
tajimi-city-kikyo-bus,Tajimi City Kikyo Bus (多治見市ききょうバス),C,72.6,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tono-railway-ena-bus,Tono Railway Ena Bus (東濃鉄道 恵那営業所),C,73.1,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tsuruoka-city-bus,Tsuruoka City Bus (鶴岡市営バス),C,72.7,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
yamako-bus,Yamako Bus (山交バス),D,66.1,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
kushimoto-bus-kushimotokankoshuyu-wakayama-jp,くしもと観光周遊バス　まぐトル号 (くしもと観光周遊バス推進協議会（事務局：和歌山県立南紀熊野ジオパークセンター））),C,73.3,2026-08-07,current,53,yes,Service data expires in 53 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
hekinancity-kurukuru-bus,くるくるバス (碧南市),C,73.7,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
inagawatown-fureaibus,ふれあいバス (猪名川町),C,76.4,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
namerikawacity-norumycar,コミュニティバス「のるmycar」 (滑川市),F,56.4,2026-08-07,current,54,yes,Service data expires in 54 day(s),Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
kaminoyamacity-kaminoyamacity,上山市営バス,C,72.7,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
minamiisetown-choeibus,南伊勢町営バス,C,72.2,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tosashimizucity-gtfs-tosashimizucity-bus,土佐清水市デマンド交通「おでかけ号」,C,75.4,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ohkuravillage-ohkuravillage,大蔵村営バス,C,71.1,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
yasudatown-gtfs-yasudatown-bus,安田町コミュニティバス「やすら号」,C,75.9,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
murotocity-gtfs-murotocity-bus,室戸市コミュニティバス「むろはぴ号」,C,75.8,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
obanazawacity-obanazawacity,尾花沢市営バス,D,69.0,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
motoyamatown-gtfs-motoyamatown-bus,本山町コミュニティバス「さくらバス」,C,75.9,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
tanotown-gtfs-tanotown-bus,田野町コミュニティーバス「たのくるバス」,C,77.6,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
kasamatsutown-communitybus,笠松町公共施設巡回町民バス,C,73.7,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
minokamocity-communitybus,美濃加茂市コミュニティバス「あい愛バス」,D,69.3,2026-08-07,current,54,yes,Service data expires in 54 day(s),Review the rule documentation for 'invalid_phone_number' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
nagaicity-nagaicity,長井市営バス,C,72.8,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
hidacity-communitybus,飛騨市営バス「ひだまる」,C,72.6,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
akashi-city-tako-bus,Akashi City Tako Bus (明石市たこバス),C,76.4,2026-08-07,current,266,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
akechi-railway,Akechi Railway (明知鉄道),C,75.3,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
aki-city-genki-bus,Aki City Genki Bus (安芸市「元気バス」),C,76.2,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
amagi-kanko-bus,Amagi Kanko Bus (甘木観光バス),B,87.1,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
anjo-ankuru-bus,Anjo City Ankuru Bus (安城市あんくるバス),C,75.0,2026-08-07,current,297,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
annaka-city-an-bus,Annaka City An-Bus (安中市路線バス「あんバス」),C,75.3,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
aoi-kotsu,Aoi Kotsu (あおい交通),B,80.3,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
arakawa-sakura-bus,Arakawa City Community Bus Sakura (荒川区コミュニティバスさくら),B,80.5,2026-08-07,current,205,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
aridagawa-town-community-bus,Aridagawa Town Community Bus (有田川町コミュニティバス),C,72.5,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
asa-coast-railway,Asa Coast Railway DMV (阿佐海岸鉄道),C,75.3,2026-08-07,current,307,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
asahi-town-bus,Asahi Town Bus (あさひまちバス),C,70.0,2026-08-07,current,236,no,,Ask your AVL vendor to publish updates at least every 20 seconds (the Caltrans guideline).,
ashikaga-city-route-bus,Ashikaga City Route Bus (足利市路線バス),D,67.4,2026-08-07,current,358,no,,Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
fukuoka-ashiya-town-bus,Ashiya Town Bus (芦屋タウンバス),B,80.1,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
awaji-jenova-line,"Awaji Jenova Line, Akashi–Iwaya (淡路ジェノバライン明石岩屋航路)",B,80.1,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,
buzen-city-bus,Buzen City Bus (豊前市バス),B,81.8,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chigasaki-city-eboshi-bus,Chigasaki City Community Bus Eboshi-go (茅ヶ崎市コミュニティバスえぼし号),B,80.9,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chikuma-bus,Chikuma Bus (千曲バス),B,80.2,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chikuma-city-loop-bus,Chikuma City Loop Bus (千曲市循環バス),C,75.2,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chita-bus,Chita Bus (知多バス),C,72.0,2026-08-07,current,177,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chita-city-aiai-bus,Chita City Aiai Bus (知多市コミュニティバス あいあいバス),C,75.0,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chuki-bus,Chuki Bus (中紀バス),C,74.0,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
dazaifu-city-mahoroba-bus,Dazaifu City Community Bus Mahoroba-go (太宰府市コミュニティバスまほろば号),B,80.7,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
