agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
ktmb-national,Keretapi Tanah Melayu (KTMB),F,17.2,2026-08-07,lapsed,0,yes,Service data expires in 0 day(s),"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
rapidkl-mrtfeeder,Rapid KL MRT feeder bus,F,44.8,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
rapidpenang-bus,Rapid Penang,F,50.3,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
basmy-alor-setar,BAS.MY Alor Setar,F,59.6,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
basmy-johor-bahru,BAS.MY Johor Bahru,F,37.2,2026-08-07,current,89,no,,Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
basmy-kangar,BAS.MY Kangar,D,62.7,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
basmy-kota-bharu,BAS.MY Kota Bharu,F,58.7,2026-08-07,current,146,no,,Review the rule documentation for 'stop_time_with_arrival_before_previous_departure_time' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
basmy-kuala-terengganu,BAS.MY Kuala Terengganu,F,58.9,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
basmy-kuching,BAS.MY Kuching,F,49.2,2026-08-07,current,146,no,,Review the rule documentation for 'stop_time_with_arrival_before_previous_departure_time' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
basmy-melaka,BAS.MY Melaka,D,63.9,2026-08-07,current,89,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
rapidkl-bus,Rapid KL (bus network),F,46.2,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
rapidkuantan-bus,Rapid Kuantan,F,58.8,2026-08-07,current,236,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
rapidkl-rail,"Rapid Rail KL (LRT, MRT and monorail)",F,59.6,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
