agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
albany-transit-system,Albany Transit System,F,34.1,2026-08-07,stale,-768,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
atlanta-streetcar,Atlanta Streetcar,F,55.7,2026-08-07,stale,-3141,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
atlantic-regional-commission,Atlantic Station Shuttle (FREE RIDE),F,39.8,2026-08-07,stale,-4602,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
buc-shuttle,Buc Shuttle,F,39.8,2026-08-07,stale,-4602,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
chatham-area-transit-cat,Chatham Area Transit (CAT),F,8.7,2026-08-07,stale,-1734,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
chatham-area-transit-cat-2080,Chatham Area Transit (CAT),F,46.0,2026-08-07,stale,-376,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cherokee-area-transportation-system-cats,Cherokee Area Transportation System (CATS),F,45.1,2026-08-07,stale,-4602,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cobb-community-transit-cct,Cobb Community Transit (CCT),F,38.0,2026-08-07,stale,-950,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
emory-university-cliff-shuttles,Emory University Cliff Shuttles,F,39.8,2026-08-07,stale,-4602,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
georgia-tech-trolley-stinger-shuttles,Georgia Tech Trolley & Stinger Shuttles,F,37.4,2026-08-07,stale,-4479,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
gwinnett-county-transit,Gwinnett County Transit,F,42.4,2026-08-07,stale,-2044,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
metropolitan-atlanta-rapid-transit-authority-marta,Metropolitan Atlanta Rapid Transit Authority (MARTA),F,47.7,2026-08-07,expiring_soon,14,yes,Service data expires in 14 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
xpress,Xpress,F,56.7,2026-08-07,stale,-1134,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cobblinc,CobbLinc,D,61.2,2026-08-07,current,146,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,ready
gwinnett-county-transit-2241,Gwinnett County Transit,C,71.7,2026-08-07,current,141,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
xpress-2355,Xpress,F,26.2,2026-07-16,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,not_ready
