agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
greater-peoria-mass-transit-citylink,Greater Peoria Mass Transit (CityLink),F,36.7,2026-07-07,stale,-1676,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-peoria-mass-transit-citylink-386,Greater Peoria Mass Transit (CityLink),F,36.7,2026-07-07,stale,-1676,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chicago-transit-authority-cta,Chicago Transit Authority (CTA),F,37.2,2026-07-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
connect-transit-1238,Connect Transit,F,37.4,2026-07-07,stale,-2501,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
pace-bus,Pace Bus,F,46.9,2026-07-07,stale,-829,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
metro-rock-island-county-metropolitan-mass-transit-district,Metro Rock Island County Metropolitan Mass Transit District,F,47.8,2026-07-07,expiring_soon,26,yes,Service data expires in 26 day(s),Re-export with a validity window that reaches at least 60 days out.,
chicago-water-taxi,Chicago Water Taxi,F,48.0,2026-07-07,lapsed,-114,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
springfield-mass-transit-district-smtd,Springfield Mass Transit District (SMTD),F,59.8,2026-07-07,lapsed,-31,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
champaign-urbana-mass-transit-district-mtd,Champaign Urbana Mass Transit District (MTD),D,65.6,2026-07-07,current,32,yes,Service data expires in 32 day(s),Delete the empty calendars or set their service days.,
greater-peoria-mass-transit-citylink-2208,Greater Peoria Mass Transit (CityLink),D,66.0,2026-07-07,current,60,yes,Service data expires in 60 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
pace-bus-2347,Pace Bus,C,71.6,2026-07-07,current,53,yes,Service data expires in 53 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metra,Metra,F,34.2,2026-07-04,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
metra-2854,Metra,F,39.5,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
connect-transit-2267,Connect Transit,D,64.4,2026-07-07,current,26840,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
dekalb-public-transit,DeKalb Public Transit,C,74.3,2026-07-07,current,542,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
dekalb-public-transit-308,DeKalb Public Transit,C,74.3,2026-07-07,current,542,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
shawnee-mass-transit-district,Shawnee Mass Transit District,B,82.6,2026-07-07,current,8610,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
