agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
bloomington-transit,Bloomington Transit,F,32.1,2026-08-07,stale,-1448,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
citilink,Citilink,F,38.9,2026-08-07,stale,-2776,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
citybus-of-greater-lafayette-indiana-citybus,CityBus of Greater Lafayette Indiana (CityBus),D,64.5,2026-08-07,expiring_soon,16,yes,Service data expires in 16 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
indygo,IndyGo,F,37.4,2026-08-07,stale,-895,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
muncie-indiana-transit-system-mits,Muncie Indiana Transit System (MITS),F,29.5,2026-08-07,stale,-3520,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
terre-haute-transit-utility,Terre Haute Transit Utility,F,52.0,2026-08-07,stale,-402,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
bloomington-transit-2066,Bloomington Transit,C,76.2,2026-08-07,current,357,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
citilink-2266,Citilink,B,83.0,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
interurban-trolley,Interurban Trolley,B,85.2,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
south-shore-line,South Shore Line,B,89.7,2026-08-07,current,1607,no,,"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",ready
valparaiso-transit,Valparaiso Transit,B,84.9,2026-08-07,current,86,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
