agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
the-jule,The Jule,F,41.8,2026-07-09,stale,-2596,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
citibus-2304,Citibus,F,48.4,2026-07-09,stale,-555,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
des-moines-area-regional-transit-authority-dart,Des Moines Area Regional Transit Authority (DART),F,57.3,2026-07-09,current,44,yes,Service data expires in 44 day(s),Ask your AVL vendor why the feed stopped advancing; the GTFS-Realtime header timestamp should move forward on every publish.,
metropolitan-transit-authority-of-black-hawk-county,Metropolitan Transit Authority of Black Hawk County,D,60.3,2026-07-09,stale,-2382,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
marshalltown-municipal-transit,Marshalltown Municipal Transit,D,67.9,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
marshalltown-municipal-transit-194,Marshalltown Municipal Transit,D,67.9,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
mason-city-public-transit,Mason City Public Transit,C,71.3,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
mason-city-public-transit-204,Mason City Public Transit,C,71.3,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
dodger-area-rapid-transit,Dodger Area Rapid Transit,C,71.6,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
dodger-area-rapid-transit-203,Dodger Area Rapid Transit,C,71.6,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
muscabus,MuscaBus,C,71.7,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
muscabus-200,MuscaBus,C,71.7,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
