agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
allegany-county-transit,Allegany County Transit,F,25.1,2026-08-07,stale,-2199,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
annapolis-transit,Annapolis Transit,F,31.2,2026-08-07,stale,-1832,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
annapolis-transit-2285,Annapolis Transit,A,91.1,2026-08-07,current,54,yes,Service data expires in 54 day(s),"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",ready
bethesda-circulator,Bethesda Circulator,F,54.6,2026-08-07,stale,-675,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
bwi-thurgood-marshall-airport-bwi-shuttle,BWI Thurgood Marshall Airport (BWI) Shuttle,F,46.2,2026-08-07,stale,-1315,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
calvert-county-public-transportation,Calvert County Public Transportation,F,30.9,2026-08-07,stale,-1838,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
carroll-transit-system,Carroll Transit System,F,42.3,2026-08-07,stale,-1649,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cecil-transit,Cecil Transit,F,26.8,2026-08-07,stale,-1807,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cecil-transit-3034,Cecil Transit,F,57.0,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
charles-county-vango,Charles County VanGo,F,26.0,2026-08-07,stale,-1807,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
charm-city-circulator,Charm City Circulator,F,51.9,2026-08-07,stale,-1621,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
delmarva-community-transit,Delmarva Community Transit,F,31.4,2026-08-07,stale,-1623,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",at_risk
frederick-county-transit,Frederick County TransIT,F,34.3,2026-08-07,stale,-525,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
frederick-county-transit-2432,Frederick County TransIT,F,59.0,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
harford-transit-link,Harford Transit LINK,F,32.0,2026-08-07,stale,-1315,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
maryland-transit-administration,Local Bus,F,49.7,2026-08-07,expiring_soon,15,yes,Service data expires in 15 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
montgomery-county-department-of-transportation-ride-on,Montgomery County Department of Transportation (Ride On),F,39.2,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
ocean-city-transportation,Ocean City Transportation,F,34.7,2026-08-07,stale,-2268,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
queen-anne-s-county-ride,Queen Anne's County Ride,F,59.2,2026-08-07,stale,-2045,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
saint-mary-s-transit-system,Saint Maryʼs Transit System,F,42.8,2026-08-07,stale,-2013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
shore-transit,Shore Transit,F,42.6,2026-08-07,stale,-2410,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
shore-transit-3149,Shore Transit,F,49.2,2026-08-07,lapsed,-77,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
st-mary-s-transit-system-sts,St. Mary's Transit System (STS),F,42.8,2026-08-07,stale,-2013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
towson-loop,Towson Loop,D,61.0,2026-08-07,expiring_soon,29,yes,Score fell 7.9 points since 2026-08-06,Re-export with a validity window that reaches at least 60 days out.,ready
washington-county-transit,Washington County Transit,F,32.7,2026-08-07,stale,-1772,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
maryland-transit-administration-467,Commuter Bus,F,54.8,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
