agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
128-business-council,128 Business Council,F,39.1,2026-08-07,stale,-2775,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
berkshire-regional-transit-authority-brta,Berkshire Regional Transit Authority (BRTA),C,72.9,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
bloom-bus,Bloom Bus,F,44.5,2026-08-07,stale,-1344,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
bloom-tours,Bloom Tours,F,46.4,2026-08-07,stale,-3870,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
boston-harbor-islands-ferries,Boston Harbor Islands Ferries,F,38.7,2026-08-07,stale,-2860,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
brockton-area-transit-authority-bat,Brockton Area Transit Authority (BAT),D,65.2,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
cape-ann-transportation-authority-cata,Cape Ann Transportation Authority (CATA),D,68.0,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
cape-cod-regional-transit-authority,Cape Cod Regional Transit Authority Flex,F,41.3,2026-08-07,lapsed,-42,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",at_risk
cape-cod-regional-transportation-authority-cape-cod-rta,Cape Cod Regional Transportation Authority (Cape Cod RTA),F,51.9,2026-08-07,lapsed,-42,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
coach-company,Coach Company,F,48.5,2026-08-07,stale,-1529,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
dattco-motorcoach,DATTCO Motorcoach,F,50.9,2026-08-07,stale,-1010,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
franklin-regional-transit-authority-frta,Franklin Regional Transit Authority (FRTA),D,66.0,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
freedom-cruise-line,Freedom Cruise Line,D,66.2,2026-08-07,lapsed,-77,yes,Service data has expired,Confirm your next service period is published: export its calendar and set feed_info feed_end_date past it.,ready
greater-attleboro-taunton-regional-transit-authority-gatra,Greater Attleboro Taunton Regional Transit Authority (GATRA),F,35.7,2026-08-07,stale,-474,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
limoliner,LimoLiner,F,51.1,2026-08-07,stale,-2410,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
logan-express,Logan Express,F,48.4,2026-08-07,stale,-2044,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
martha-s-vineyard-transit-authority,Martha's Vineyard Transit Authority,B,82.7,2026-08-07,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
massachusetts-bay-transportation-authority-mbta,Massachusetts Bay Transportation Authority (MBTA),D,67.3,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
massachusetts-ferry-service,Massachusetts Ferry Service,F,40.6,2026-08-07,stale,-5698,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
massport,Massport,C,76.1,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
montachusett-regional-transit-authority-mart,Montachusett Regional Transit Authority (MART),C,75.5,2026-08-07,current,54,yes,Service data expires in 54 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
nantucket-regional-transit-authority-wave,Nantucket Regional Transit Authority (WAVE),D,66.9,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
patriots-party-boats,Patriots Party Boats,C,70.3,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
peter-pan,Peter Pan,F,43.7,2026-08-07,stale,-584,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
pioneer-valley-transit-authority-pvta,Pioneer Valley Transit Authority (PVTA),F,30.3,2026-08-07,stale,-874,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
pioneer-valley-transit-authority-pvta-2416,Pioneer Valley Transit Authority (PVTA),F,29.4,2026-08-07,expiring_soon,15,yes,Service data expires in 15 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
