agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
north-central-regional-transit-district-ncrtd,North Central Regional Transit District (NCRTD),F,41.3,2026-07-08,stale,-1803,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
carlsbad-municipal-transit-system,Carlsbad Municipal Transit System,F,42.9,2026-07-08,stale,-3842,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sandia-shuttle,Sandia Shuttle,F,49.4,2026-07-08,stale,-1285,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
sandia-shuttle-167,Sandia Shuttle,F,49.4,2026-07-08,stale,-1285,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
carlsbad-municipal-transit-system-2284,Carlsbad Municipal Transit System,F,55.4,2026-07-08,lapsed,-189,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
roadrunner-transit-2075,RoadRUNNER Transit,F,55.7,2026-07-08,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
navajo-transit-system,Navajo Transit System,F,56.6,2026-07-08,stale,-1984,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
navajo-transit-system-157,Navajo Transit System,F,56.6,2026-07-08,stale,-1984,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
red-apple-transit,Red Apple Transit,F,56.7,2026-07-08,lapsed,-39,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
red-apple-transit-160,Red Apple Transit,F,56.7,2026-07-08,lapsed,-39,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gallup-express,Gallup Express,F,59.1,2026-07-08,lapsed,-68,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gallup-express-462,Gallup Express,F,59.1,2026-07-08,lapsed,-68,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
roadrunner-transit,RoadRUNNER Transit,D,61.8,2026-07-08,stale,-1070,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
roadrunner-transit-564,RoadRUNNER Transit,D,61.8,2026-07-08,stale,-1070,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
abq-ride,ABQ RIDE,D,62.3,2026-07-08,current,58,yes,Service data expires in 58 day(s),Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
rio-metro-regional-transit-district,Rio Metro Regional Transit District,D,63.0,2026-07-08,stale,-799,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
santa-fe-trails,Santa Fe Trails,D,64.8,2026-07-08,lapsed,-100,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
santa-fe-trails-839,Santa Fe Trails,D,64.8,2026-07-08,lapsed,-100,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
atomic-city-transit,Atomic City Transit,B,84.4,2026-07-08,current,176,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
navajo-transit-system-2346,Navajo Transit System,A,90.3,2026-07-08,current,208,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
