agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
academy-bus,Academy Bus,F,42.3,2026-08-07,stale,-1213,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
access-allegany,Access Allegany,F,42.0,2026-08-07,lapsed,-219,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
adirondack-trailways-pine-hill-trailways,Adirondack Trailways Pine Hill Trailways,F,2.3,2026-08-07,stale,-1680,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
metropolitan-transit-authority-mta-528,Bronx Bus,F,58.4,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
metropolitan-transit-authority-mta-512,Brooklyn Bus,F,58.5,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
broome-county-transit-b-c-transit,Broome County Transit (B.C. Transit),F,38.2,2026-08-07,stale,-1315,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
c-tran-305,C TRAN,F,37.2,2026-08-07,stale,-1315,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
capital-district-transportation-authority-cdta,Capital District Transportation Authority (CDTA),B,81.1,2026-08-07,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
centro,Centro,F,49.1,2026-08-07,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
city-of-mechanicville-public-transit,City of Mechanicville Public Transit,D,61.4,2026-08-07,current,49,yes,Service data expires in 49 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
clinton-county-public-transit-ccpt,Clinton County Public Transit (CCPT),F,35.3,2026-08-07,lapsed,-68,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
corning-erwin-area-transit-system-ceats,Corning Erwin Area Transit System (CEATS),F,44.2,2026-08-07,lapsed,-219,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cortland-county-public-transportation,Cortland County Public Transportation,F,35.4,2026-08-07,stale,-495,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
franklin-county-public-transportation,Franklin County Public Transportation,F,45.0,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
gloversville-transit-services,Gloversville Transit Services,F,30.2,2026-08-07,stale,-950,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
greater-glens-falls-transit,Greater Glens Falls Transit,F,20.2,2026-08-07,stale,-950,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
herkimer-oneida-counties-transportation-study-hocts,Herkimer-Oneida Counties Transportation Study (HOCTS),F,24.9,2026-08-07,stale,-1680,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
hornell-area-transit,Hornell Area Transit,F,33.5,2026-08-07,lapsed,-20,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
hudson-link,Hudson Link,B,80.6,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
jfk-airtrain,JFK Airtrain,F,43.4,2026-08-07,stale,-1680,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
kiryas-joel-area-transit,Kiryas Joel Area Transit,F,55.1,2026-08-07,stale,-767,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
