agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
godurham,GoDurham,F,38.0,2026-07-10,lapsed,-191,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
godurham-377,GoDurham,F,38.0,2026-07-10,lapsed,-191,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
duke-university,Duke University,F,38.6,2026-07-10,lapsed,-334,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
duke-university-378,Duke University,F,38.6,2026-07-10,lapsed,-334,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chapel-hill-transit-cht,Chapel Hill Transit (CHT),F,41.5,2026-07-10,stale,-556,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chapel-hill-transit-cht-376,Chapel Hill Transit (CHT),F,41.5,2026-07-10,stale,-556,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
capital-area-transit-goraleigh-1983,Capital Area Transit (GoRaleigh),F,42.8,2026-07-10,stale,-709,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
concord-kannapolis-area-transit-rider-transit,Concord Kannapolis Area Transit (Rider Transit),F,42.9,2026-07-10,stale,-1287,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
concord-kannapolis-area-transit-rider-transit-372,Concord Kannapolis Area Transit (Rider Transit),F,42.9,2026-07-10,stale,-1287,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
charlotte-area-transit-system-cats,Charlotte Area Transit System (CATS),F,44.1,2026-07-10,stale,-1615,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
wave-transit-1861,fixed route,F,44.1,2026-07-10,stale,-1228,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
asheville-rides-transit,Asheville Rides Transit,F,46.8,2026-07-10,lapsed,-10,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
