agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
basin-transit-service-bts,Basin Transit Service (BTS),D,63.8,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
benton-area-transportation,Benton Area Transportation,B,85.5,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
benton-area-transportation-3109,Benton Area Transportation - Flex V2,C,78.6,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,at_risk
blue-star-bus,Blue Star Bus,F,47.5,2026-08-07,stale,-2775,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
buena-vista-ferry,Buena Vista Ferry,D,61.2,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
burns-paiute-tribal-transit,Burns Paiute Tribal Transit,C,73.4,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
cascade-point,Cascade POINT,F,49.6,2026-08-07,stale,-1849,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
cascades-east-transit-cet,Cascades East Transit (CET),F,48.4,2026-08-07,stale,-836,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
central-oregon-breeze,Central Oregon Breeze,D,63.1,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
cherriots,Cherriots,F,23.8,2026-08-07,lapsed,-217,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
city-2-city-shuttle,City 2 City Shuttle,F,51.1,2026-08-07,stale,-3324,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
city-of-corvallis,City of Corvallis,F,45.7,2026-08-07,stale,-1863,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
city-of-milton-freewater-public-transportation,City of Milton-Freewater Public Transportation,F,52.8,2026-08-07,stale,-926,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
clackamas-community-college-ccc-xpress,Clackamas Community College (CCC) Xpress,F,54.8,2026-08-07,stale,-1437,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
clackco-connects-clackamas-county-2740,ClackCo Connects (Clackamas County) Realtime Static,D,67.1,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
diamond-express,Diamond Express,C,72.5,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
eastern-point,Eastern Point,F,51.1,2026-08-07,stale,-1849,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
eugene-to-bend,Eugene to BEND,F,54.0,2026-08-07,stale,-3505,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
eugene-to-coos-bay,Eugene to Coos Bay,F,54.8,2026-08-07,stale,-3505,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
kayak-transit-ctuir,Kayak Transit (CTUIR),F,46.7,2026-08-07,stale,-403,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
klamath-shuttle,Klamath Shuttle,F,51.1,2026-08-07,stale,-1432,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
klamath-shuttle-crater-lake-trolley,Klamath Shuttle - Crater Lake Trolley,F,50.9,2026-08-07,stale,-2531,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
lane-transit-district-ltd,Lane Transit District (LTD),F,39.2,2026-08-07,lapsed,-188,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
let-er-bus,Let'er Bus,D,63.5,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
lincoln-county-transit-lct,Lincoln County Transit (LCT),B,82.7,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
malheur-council-on-aging-community-services,Malheur Council on Aging & Community Services,D,65.1,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
mt-bachelor,Mt. Bachelor,F,50.2,2026-08-07,stale,-1133,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
northwest-point,NorthWest POINT,F,45.9,2026-08-07,stale,-1849,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
oregon-department-of-transportation,Oregon Department of Transportation,B,81.0,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
oregon-express-shuttle,Oregon Express Shuttle,D,65.5,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
pacific-crest-bus-lines,Pacific Crest Bus Lines,C,70.4,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
philomath-connection,Philomath Connection,F,51.1,2026-08-07,stale,-1589,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
quail-trail-public-transit,Quail Trail Public Transit,D,66.5,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
rhody-express,Rhody Express,D,68.2,2026-08-07,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
rogue-valley-transportation-district-rvtd,Rogue Valley Transportation District (RVTD),F,47.4,2026-08-07,lapsed,-145,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
rogue-valley-transportation-district-rvtd-3103,Rogue Valley Transportation District (RVTD),F,44.1,2026-08-07,lapsed,-47,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
sandy-area-metro-sam-2739,Sandy Area Metro (SAM) Realtime Static,D,62.2,2026-08-07,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
shuttle-oregon,Shuttle Oregon,F,42.1,2026-08-07,stale,-1163,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
south-clackamas-transportation-district,South Clackamas Transportation District,D,60.8,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
south-metro-area-regional-transit-smart,South Metro Area Regional Transit (SMART),F,30.1,2026-08-07,stale,-1079,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
