agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
county-connection-cccta-2421,County Connection (CCCTA),D,62.9,2026-07-08,current,31,yes,Service window shortened unexpectedly on 2026-06-25,Add feed_info.txt with feed_start_date and feed_end_date to your export.,
memphis-area-transit-authority,Memphis Area Transit Authority,F,27.4,2026-07-08,stale,-1915,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
chattanooga-area-regional-transportation-authority-carta-2082,Chattanooga Area Regional Transportation Authority (CARTA),F,32.6,2026-07-08,stale,-690,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
chattanooga-area-regional-transportation-authority-carta,Chattanooga Area Regional Transportation Authority (CARTA),F,33.8,2026-07-08,stale,-1523,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
memphis-area-transit-authority-2352,Memphis Area Transit Authority,F,40.3,2026-07-08,stale,-485,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
muletown-trolley,Muletown Trolley,F,55.5,2026-07-08,lapsed,-195,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",not_ready
jackson-transit-authority,Jackson Transit Authority,F,59.5,2026-07-08,lapsed,-99,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
franklin-transit-authority,Franklin Transit Authority,C,72.5,2026-07-08,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
franklin-transit-authority-361,Franklin Transit Authority,C,72.5,2026-07-08,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,
knoxville-area-transit-kat,Knoxville Area Transit (KAT),F,56.8,2026-07-08,current,26839,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
nashville-mta-wego-public-transit,Nashville MTA WeGo Public Transit,D,67.8,2026-07-08,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
