agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
stagecoach-transportation-services-sts,Stagecoach Transportation Services (STS),F,21.4,2026-07-10,stale,-2382,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
stagecoach-transportation-services-sts-449,Stagecoach Transportation Services (STS),F,21.4,2026-07-10,stale,-2382,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
addison-county-transit-actr,Addison County Transit (ACTR),F,37.8,2026-07-10,stale,-2382,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
addison-county-transit-actr-543,Addison County Transit (ACTR),F,37.8,2026-07-10,stale,-2382,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
moover,MOOver,F,39.5,2026-07-10,stale,-1689,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
moover-434,MOOver,F,39.5,2026-07-10,stale,-1689,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
the-current,The Current,F,39.5,2026-07-10,stale,-1689,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
the-current-428,The Current,F,39.5,2026-07-10,stale,-1689,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
marble-valley-regional-transit-district-mvrtd-2831,Flex,F,59.9,2026-07-10,current,52,yes,Grade slipped from D to F,Review the rule documentation for 'invalid_pickup_drop_off_window' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
marble-valley-regional-transit-district-mvrtd,Marble Valley Regional Transit District (MVRTD),C,71.3,2026-07-10,current,52,yes,Service data expires in 52 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
marble-valley-regional-transit-district-mvrtd-430,Marble Valley Regional Transit District (MVRTD),C,71.3,2026-07-10,current,52,yes,Service data expires in 52 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chittenden-county-transportation-authority-ccta,Chittenden County Transportation Authority (CCTA),B,81.1,2026-07-10,current,83,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
rockingham-moover,Rockingham MOOver,B,81.1,2026-07-10,current,83,yes,Service window shortened unexpectedly on 2026-07-04,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
