agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
ben-franklin-transit,Ben Franklin Transit,F,55.9,2026-07-10,stale,-831,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
catholic-community-services,Catholic Community Services,F,57.0,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
catholic-community-services-2159,Catholic Community Services,F,57.0,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
catholic-community-services-2160,Catholic Community Services,F,57.0,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
city-of-ellensburg-public-transit-central-transit,City of Ellensburg Public Transit (Central Transit),D,69.7,2026-07-10,stale,-466,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
coast-transportation,COAST Transportation,F,38.5,2026-07-10,lapsed,-160,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
community-transit-ct,Community Transit (CT),B,81.0,2026-07-10,current,49,yes,Service data expires in 49 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
everett-transit,Everett Transit,C,71.3,2026-07-10,current,57,yes,Service data expires in 57 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
everett-transit-3038,Everett Transit,C,77.2,2026-07-10,current,57,yes,Service data expires in 57 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
homage-d-arling-direct,Homage: DʼArling Direct,F,48.8,2026-07-10,stale,-375,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
hopelink-transportation,Hopelink Transportation,F,59.7,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
jamestown-s-klallam,Jamestown S'klallam,F,55.5,2026-07-10,stale,-2108,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
kalispel-tribal-transit-kaltran,Kalispel Tribal Transit (KalTran),F,56.4,2026-07-10,stale,-769,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
king-county-metro,King County Metro,C,78.9,2026-07-10,current,49,yes,Service data expires in 49 day(s),Review the rule documentation for 'trip_distance_exceeds_shape_distance_below_threshold' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
l-e-w-i-s-mountain-highway-transit,L.E.W.I.S. Mountain Highway Transit,F,54.4,2026-07-10,stale,-1135,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
lady-of-the-lake,Lady of the Lake,D,67.5,2026-07-10,current,59,yes,Service data expires in 59 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
lower-columbia-cap-community-action-program,Lower Columbia CAP (Community Action Program),F,48.1,2026-07-10,stale,-365,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
lummi-island-ferry,Lummi Island Ferry,D,65.5,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
lummi-transit,Lummi Transit,F,42.6,2026-07-10,lapsed,-58,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
makah-public-transit,Makah Public Transit,F,53.7,2026-07-10,stale,-831,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
mason-transit-authority,Mason Transit Authority,D,65.8,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
microsoft-shuttles,Microsoft Shuttles,F,18.9,2026-07-10,stale,-2017,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
nisqually-transit,Nisqually Transit,F,45.2,2026-07-10,stale,-556,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
pierce-transit,Pierce Transit,C,79.2,2026-07-10,current,50,yes,Service data expires in 50 day(s),Review the rule documentation for 'missing_required_agency_id' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
metro-transit-intercity-transit-city-of-seattle-community-transit-pierce-transit-sound-transit-washington-state-ferries-seattlecentermonorail-everett-transit-seattle-children-s-hospital,Puget Sound Consolidated GTFS,F,44.4,2026-07-10,current,49,yes,Service data expires in 49 day(s),Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
puget-sound-express,Puget Sound Express,F,53.7,2026-07-10,stale,-2477,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
ruraltransit,ruralTRANSIT,C,76.0,2026-07-10,current,52,yes,Service data expires in 52 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
seattle-children-s-hospital-shuttle,Seattle Children's Hospital Shuttle,F,37.9,2026-07-10,stale,-739,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
selah-transit,Selah Transit,D,62.4,2026-07-10,lapsed,-100,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sound-transit,Sound Transit,B,82.5,2026-07-10,current,49,yes,Service data expires in 49 day(s),"Remove retired stops from the export, or add them back to the trips that should serve them.",
sound-transit-metro-transit-city-of-seattle-king-county-metro,"Sound Transit, Metro Transit, City of Seattle - King County Metro",B,88.8,2026-07-10,current,49,yes,Service data expires in 49 day(s),Review the rule documentation for 'route_short_name_too_long' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
squaxin-island-transit,Squaxin Island Transit,F,53.8,2026-07-10,stale,-983,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
the-victoria-clipper,The Victoria Clipper,F,58.1,2026-07-10,stale,-3054,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
wahkiakum-ferry,Wahkiakum Ferry,F,48.5,2026-07-10,stale,-982,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
washington-state-ferries,Washington State Ferries,D,65.4,2026-07-10,current,51,yes,Service data expires in 51 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
washington-state-ferries-1331,Washington State Ferries,F,37.3,2026-07-10,expiring_soon,16,yes,Service data expires in 16 day(s),Re-export with a validity window that reaches at least 60 days out.,
ben-franklin-transit-2024,Ben Franklin Transit,B,84.8,2026-07-10,current,155,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ben-franklin-transit-2122,Ben Franklin Transit,B,87.9,2026-07-10,current,155,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
black-ball-ferry-line,Black Ball Ferry Line,A,98.2,2026-07-10,current,177,no,,Remove past service periods the next time you export the feed.,
city-of-ellensburg-public-transit-central-transit-2456,City of Ellensburg Public Transit (Central Transit),A,92.3,2026-07-10,current,114,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
clallam-transit-system,Clallam Transit System,C,78.2,2026-07-10,current,316,no,,Re-generate shape distances in your export; flag to your vendor if it persists.,
c-tran,Clark County Public Transportation Benefit Area,B,84.1,2026-07-10,current,64,no,,Check the vehicle positions endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
columbia-county-public-transportation,Columbia County Public Transportation,C,73.1,2026-07-10,current,325,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
colville-confederated-tribes-transit,Colville Confederated Tribes Transit,C,79.4,2026-07-10,current,234,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
community-in-motion,Community in Motion,C,74.5,2026-07-10,current,144,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
sound-generations-hyde-shuttle,do not use - deprecfated,C,74.6,2026-07-10,current,114,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
eastside-friends-of-seniors,Eastside Friends of Seniors,C,73.8,2026-07-10,current,144,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
elwha-transit,Elwha Transit,C,75.5,2026-07-10,current,206,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
