ntd_id,agency_name,doing_business_as,state,reporter_type,organization_type,agency_url,match_tier,match_evidence
00001,King County,King County Metro,WA,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://metro.kingcounty.gov/,registry_name_exact,registry:king-county-metro
00002,Spokane Transit Authority,,WA,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.spokanetransit.com/,registry_name_exact,registry:spokane-transit-authority-sta
00003,Pierce County Transportation Benefit Area Authority,Pierce Transit,WA,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.piercetransit.org/,registry_name_exact,registry:pierce-transit
00004,Confederated Tribes of the Colville Indian Reservation,,WA,Reduced Reporter,Tribe,https://www.colvilletribes.com/transit-inchelium-ferry,registry_name_fuzzy,registry:colville-confederated-tribes-transit (jaccard 0.60)
00005,City of Everett,Everett Transit,WA,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.everetttransit.org/,registry_name_exact,"registry:everett-transit,everett-transit-3038"
00006,City of Yakima,Yakima Transit,WA,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.yakimatransit.org/,registry_name_exact,registry:yakima-transit
00007,Lane Transit District,,OR,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.ltd.org/,registry_ntd_id,registry:lane-transit-district-ltd
00008,Tri-County Metropolitan Transportation District of Oregon,TriMet,OR,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.trimet.org/,registry_domain,registry:trimet-portland-streetcar
00010,Klamath Tribes,Quail Trail,OR,Reduced Reporter,Tribe,https://klamathtribes.org/planning-and-enterprise-department/,registry_name_exact,registry:quail-trail-public-transit
00012,Municipality of Anchorage,,AK,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.muni.org/Departments/transit,registry_domain,registry:anchorage-people-mover
00014,Sitka Tribe of Alaska,,AK,Reduced Reporter,Tribe,https://sitkatribe.org/our-services/transportation/,weak_shared_token,registry:ride-sitka
00016,City of Longview,RiverCities Transit,WA,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.rctransit.org/,registry_name_exact,registry:rivercities-transit-rct
