Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Networks,Ad Group,Ad Group Status,Keyword,Match Type,Max CPC,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Description 1,Description 2,Description 3,Path 1,Path 2,Status
GTFS Scorecard - Program Report Bundle,Search,10.00,Manual CPC,Google search,,,,,,,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,Enabled,,,,,,,,,,,,,,
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,,gtfs data quality audit,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,,gtfs compliance report,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,,gtfs compliance audit tool,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,,gtfs compliance audit tool,Exact,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,,transit feed compliance report,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Compliance and audit,,,,,https://gtfsscorecard.org/bundle/,GTFS Data Quality Reports,"Board Reports, One Archive",From $149 per Archive,2-Day Delivery or Refunded,"One board-ready GTFS quality report per agency you support, in one branded archive.",Grades are never for sale. Same public rubric as the free site. Delivered in 2 days.,"Built for state programs, TA centers, vendors, and consultancies. Refreshed monthly.",,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,Enabled,,,,,,,,,,,,,,
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,gtfs quality scorecard for transit agencies,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,gtfs quality scorecard for transit agencies,Exact,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,gtfs data quality board report,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,gtfs data quality board report,Exact,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,state dot gtfs oversight tool,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,gtfs quality monitoring for multiple agencies,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
GTFS Scorecard - Program Report Bundle,,,,,Program and TA-center,,rural transit gtfs technical assistance,Phrase,9.00,https://gtfsscorecard.org/bundle/,,,,,,,,,,Enabled
