id,name,state,grade,score,comparison_eligible,size_tier,snapshot_date,days_until_expiry,service_horizon_status,expiry_status,mdb_id,rubric_version,scoring_profile_id,scoring_profile_rubric_version,validator_version,feed_sha256,feed_url,top_fix,scorecard_url,country,subdivision_code,subdivision_name
10-15-transit,10-15 Transit,Iowa,C,76.5,False,medium,2026-07-10,53,within_review_threshold,current,195,1.1,,,8.0.1,b6e3e9f545b7f85c7834762efe4ae99b02748c751cc20fd9397a4d9414a2b37a,https://data.trilliumtransit.com/gtfs/10-15transit-ia-us/10-15transit-ia-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/10-15-transit/,US,US-IA,Iowa
128-business-council,128 Business Council,Massachusetts,F,39.1,False,small,2026-07-10,-2747,within_review_threshold,stale,440,1.1,,,8.0.1,40a0fe5a7f658a1a2fcfb81344797bc07652dc72b49ded0a9beaf1096172a96e,https://data.trilliumtransit.com/gtfs/route128corridor-ma-us/route128corridor-ma-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/128-business-council/,US,US-MA,Massachusetts
81-connection-citygo-kanconnect,"81 Connection, CityGo, KanConnect",Kansas,F,50.1,False,medium,2026-07-10,-922,within_review_threshold,stale,1867,1.1,,,8.0.1,5a33e87229f4225a76ad67db2b378a5c71bb9fecb99d8db5e7dadae1c1756ccd,https://salinacitygo.com/wp-content/uploads/2022/11/export-2022-11-30T10-18-07.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/81-connection-citygo-kanconnect/,US,US-KS,Kansas
abq-ride,ABQ RIDE,New Mexico,D,61.5,False,large,2026-07-10,56,within_review_threshold,current,166,1.1,,,8.0.1,a88d43f750263c0e70dbc4281c9d9d2f62439f8563ae895ce27b3212da2e996c,https://data.cabq.gov/transit/gtfs/google_transit.zip,Review the rule documentation for 'equal_shape_distance_diff_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/abq-ride/,US,US-NM,New Mexico
academy-bus,Academy Bus,New York,F,42.3,False,medium,2026-07-10,-1185,within_review_threshold,stale,209,1.1,,,8.0.1,0e40d642ea3e4a883f86b6d6aef21527d0fde9f8ea7704877a0c56e0c31fc72b,https://s3.amazonaws.com/datatools-511ny/public/Academy_Express_-_Staten_Island.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/academy-bus/,US,US-NY,New York
access-allegany,Access Allegany,New York,F,42.0,False,small,2026-07-10,-191,within_review_threshold,lapsed,531,1.1,,,8.0.1,73141904e55f4c083ec65f4e2bdd8bd2f3c556be3ffbccde015dfcae60620a4e,https://s3.amazonaws.com/datatools-511ny/public/Access_Allegany.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/access-allegany/,US,US-NY,New York
adams-county,Flex,Colorado,D,64.4,False,small,2026-07-10,22,within_review_threshold,expiring_soon,2156,1.1,,,8.0.1,09f185aac1f8a7b0208dd63db8fbd5569e7d2c0280a9fe216be6dd955b8c83ec,https://data.trilliumtransit.com/gtfs/adamscounty-co-us/adamscounty-co-us--flex-v2.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/adams-county/,US,US-CO,Colorado
addison-county-transit-actr,Addison County Transit (ACTR),Vermont,F,37.8,False,medium,2026-07-10,-2382,within_review_threshold,stale,543,1.1,,,8.0.1,154d2b3a5203acd2f7fa064c95bbdd68a3f0644b3715a3d6de4efbdfa875c2a1,https://data.trilliumtransit.com/gtfs/addisoncounty-vt-us/addisoncounty-vt-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/addison-county-transit-actr/,US,US-VT,Vermont
adirondack-trailways-adp,Adirondack Trailways ADP,New York,F,45.1,False,small,2026-07-10,1635,within_review_threshold,current,823,1.1,,,8.0.1,fe0f18024fc5317755da3ca90bd095aca441bc6c9571a17bb3fda11e8f3fcfff,https://s3.amazonaws.com/datatools-511ny/public/Trailways-ADP.zip,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/adirondack-trailways-adp/,US,US-NY,New York
adirondack-trailways-nyp,Adirondack Trailways NYP,New York,F,42.5,False,small,2026-07-10,1635,within_review_threshold,current,824,1.1,,,8.0.1,1a8463045c47c50bce4ce8ff1a6b44e352e4a5a658cb51268696e5b5b12cb466,https://s3.amazonaws.com/datatools-511ny/public/Trailways-NYP.zip,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/adirondack-trailways-nyp/,US,US-NY,New York
