id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
10-15-transit,10-15 Transit,2026-07-10,C,76.5,100.0,88.3,34.0,,53,within_review_threshold
10-15-transit-195,10-15 Transit,2026-07-10,C,76.5,100.0,88.3,34.0,,53,within_review_threshold
128-business-council,128 Business Council,2026-07-10,F,39.1,68.0,0.0,30.0,,-2747,within_review_threshold
128-business-council-440,128 Business Council,2026-07-10,F,39.1,68.0,0.0,30.0,,-2747,within_review_threshold
81-connection-citygo-kanconnect,"81 Connection, CityGo, KanConnect",2026-07-10,F,50.1,59.5,0.0,77.0,,-922,within_review_threshold
abq-ride,ABQ RIDE,2026-07-10,D,61.5,39.0,93.3,67.5,,56,within_review_threshold
academy-bus,Academy Bus,2026-07-10,F,42.3,68.8,0.0,38.9,,-1185,within_review_threshold
access-allegany,Access Allegany,2026-07-10,F,42.0,59.5,0.0,51.1,,-191,within_review_threshold
adams-county,Flex,2026-07-10,D,64.4,94.0,36.7,45.0,,22,within_review_threshold
addison-county-transit-actr,Addison County Transit (ACTR),2026-07-10,F,37.8,46.0,0.0,56.6,,-2382,within_review_threshold
addison-county-transit-actr-543,Addison County Transit (ACTR),2026-07-10,F,37.8,46.0,0.0,56.6,,-2382,within_review_threshold
adirondack-trailways-adp,Adirondack Trailways ADP,2026-07-10,F,45.1,49.2,85.0,7.5,,1635,within_review_threshold
adirondack-trailways-nyp,Adirondack Trailways NYP,2026-07-10,F,42.5,43.2,85.0,7.5,,1635,within_review_threshold
adirondack-trailways-pine-hill-trailways,Adirondack Trailways Pine Hill Trailways,2026-07-10,F,2.3,0.0,0.0,7.5,,-1652,within_review_threshold
advance-transit,Advance Transit,2026-07-10,C,74.3,69.8,100.0,59.9,,144,within_review_threshold
advance-transit-631,Advance Transit,2026-07-10,C,74.2,69.8,100.0,59.9,,144,within_review_threshold
advance-transit-at,Advance Transit (AT),2026-07-10,F,42.3,70.0,0.0,37.3,,-1206,within_review_threshold
airport-valet-express,Airport Valet Express,2026-07-10,F,44.5,69.5,0.0,45.0,,-2200,within_review_threshold
airport-valet-express-27,Airport Valet Express,2026-07-10,F,44.5,69.5,0.0,45.0,,-2200,within_review_threshold
akron-metro-regional-transit-authority-metro,Akron Metro Regional Transit Authority (METRO),2026-07-10,F,33.4,49.5,0.0,37.5,,-1273,within_review_threshold
akron-metro-regional-transit-authority-metro-2071,Akron Metro Regional Transit Authority (METRO),2026-07-10,B,80.9,90.5,71.7,75.0,,43,within_review_threshold
alameda-contra-costa-transit-district-ac-transit,Alameda-Contra Costa Transit District (AC Transit),2026-07-10,F,52.2,76.5,0.0,60.0,,-860,within_review_threshold
albany-transit-system,Albany Transit System,2026-07-10,F,33.6,50.0,0.0,37.5,,-740,within_review_threshold
alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",2026-07-10,F,46.7,63.8,0.0,60.0,,-1744,within_review_threshold
alcatraz-cruises-hornblower-angel-island-tiburon-ferry-blue-gold-fleet-595,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",2026-07-10,F,46.7,63.8,0.0,60.0,,-1744,within_review_threshold
alexandria-dot,City of Alexandria,2026-07-10,C,75.5,94.0,100.0,30.0,,144,within_review_threshold
alexandria-transit-company-dash,Alexandria Transit Company (DASH),2026-07-10,C,71.0,75.0,86.7,52.9,,52,within_review_threshold
alhambra-community-transit,Alhambra Community Transit,2026-07-10,F,47.6,66.0,0.0,60.0,,-1652,within_review_threshold
alhambra-community-transit-211,Alhambra Community Transit,2026-07-10,F,47.6,66.0,0.0,60.0,,-1652,within_review_threshold
all-points-transit,All Points Transit,2026-07-10,C,77.4,86.0,100.0,47.4,,206,within_review_threshold
all-points-transit-2039,Flex v2 included,2026-07-10,F,59.8,82.0,36.7,47.1,,22,within_review_threshold
all-points-transit-212,All Points Transit,2026-07-10,C,77.4,86.0,100.0,47.4,,206,within_review_threshold
allegany-county-transit,Allegany County Transit,2026-07-10,F,25.1,30.5,0.0,37.5,,-2171,within_review_threshold
allen-county-regional-transit-authority,Allen County Regional Transit Authority,2026-07-10,C,79.0,84.0,100.0,55.1,,144,within_review_threshold
altamont-corridor-express,Altamont Corridor Express,2026-07-10,F,46.8,41.0,0.0,92.5,,-556,within_review_threshold
altavista-community-transit-system,Altavista Community Transit System,2026-07-10,B,80.2,94.0,100.0,45.0,,82,within_review_threshold
altavista-community-transit-system-882,Altavista Community Transit System,2026-07-10,B,80.2,94.0,100.0,45.0,,82,within_review_threshold
amador-transit,Amador Transit,2026-07-10,C,78.4,91.5,88.3,52.2,,53,within_review_threshold
amador-transit-92,Amador Transit,2026-07-10,C,78.4,91.5,88.3,52.2,,53,within_review_threshold
amarillo-city-transit,Amarillo City Transit,2026-07-10,F,50.2,77.2,0.0,52.5,,-1652,within_review_threshold
amtrak,Amtrak,2026-07-10,F,43.0,59.5,11.7,45.0,,7,within_review_threshold
amtrak-san-joaquins,Amtrak San Joaquins,2026-07-10,F,52.6,88.0,0.0,45.0,,-10,within_review_threshold
amtrak-vermonter,Amtrak Vermonter,2026-07-10,B,80.1,93.8,100.0,45.0,,143,within_review_threshold
anaheim-resort-transportation-art,Anaheim Resort Transportation (ART),2026-07-10,F,42.6,92.0,0.0,7.5,,,unknown
anchorage-people-mover,Anchorage People Mover,2026-07-10,D,65.8,88.0,100.0,60.1,0.0,322,within_review_threshold
